bhk,propertytype,location,sqft,pricepersqft,totalprice
3,Flat,Ahmedabad,1346,6233,15700000
4,Flat,Ahmedabad,1872,4873,17500000
4,Flat,Ahmedabad,1650,6733,20200000
5,Flat,Ahmedabad,10201,8499,86700000
3,Flat,Ahmedabad,968,5944,10400000
4,Flat,Ahmedabad,4608,6400,29400000
4,Flat,Ahmedabad,5680,11655,66200000
4,Flat,Ahmedabad,4941,9006,44500000
3,Flat,Ahmedabad,1199,8000,18500000
5,Flat,Ahmedabad,4863,6462,31400000
3,Flat,Ahmedabad,966,4539,7970000
3,Flat,Ahmedabad,1300,4388,10000000
4,Flat,Ahmedabad,3829,6000,42300000
3,Flat,Ahmedabad,2520,5159,13000000
5,Flat,Ahmedabad,3415,5491,34100000
5,Flat,Ahmedabad,2974,7176,38800000
4,Flat,Ahmedabad,5599,4506,25200000
3,Flat,Ahmedabad,1926,8515,16399999
5,Flat,Ahmedabad,2772,5500,27700000
4,Flat,Ahmedabad,3133,5750,18000000
3,Flat,Ahmedabad,861,4260,8000000
3,Flat,Ahmedabad,1529,14337,6509999
4,Villa,Ahmedabad,6975,4038,100000000
2,Flat,Ahmedabad,1305,5726,5270000
4,Flat,Ahmedabad,1824,5159,19000000
3,Flat,Ahmedabad,2520,4667,13000000
6,Flat,Ahmedabad,6841,5574,103300000
4,Flat,Ahmedabad,1928,5491,14900000
5,Flat,Ahmedabad,2772,12183,28000000
5,Flat,Ahmedabad,3415,3664,34100000
4,Villa,Ahmedabad,4104,4555,50000000
4,Flat,Ahmedabad,3100,5486,11299999
3,Flat,Ahmedabad,1300,5814,10400000
3,Flat,Ahmedabad,963,9000,9600000
4,Flat,Ahmedabad,2580,4323,15000000
5,Flat,Ahmedabad,6840,9500,61500000
3,Flat,Ahmedabad,968,4882,7759999
4,Flat,Ahmedabad,4349,7500,41300000
3,Flat,Ahmedabad,2493,5800,12100000
4,Flat,Ahmedabad,2363,4700,32200000
4,Flat,Ahmedabad,3351,5000,19400000
4,Flat,Ahmedabad,3900,3444,18300000
4,Flat,Ahmedabad,2118,3906,15400000
4,Flat,Ahmedabad,3260,7630,16299999
3,Flat,Ahmedabad,1827,5323,6290000
3,Flat,Ahmedabad,1080,4040,7030000
3,Flat,Ahmedabad,896,4767,7000000
4,Flat,Ahmedabad,3827,4420,29200000
4,Flat,Ahmedabad,4415,5581,23500000
2,Flat,Ahmedabad,1350,5350,5450000
3,Flat,Ahmedabad,3042,11456,14500000
3,Flat,Ahmedabad,1935,5100,8550000
3,Flat,Ahmedabad,1935,6785,10800000
4,Flat,Ahmedabad,1545,6500,15600000
4,Flat,Ahmedabad,2008,6030,32200000
3,Flat,Ahmedabad,787,9500,6940000
3,Flat,Ahmedabad,1386,6500,17000000
4,Flat,Ahmedabad,1743,3350,20600000
4,Flat,Ahmedabad,2376,3798,14300000
4,Flat,Ahmedabad,3335,5716,57600000
4,Flat,Ahmedabad,1750,9200,20600000
3,Flat,Ahmedabad,890,4757,5350000
3,Flat,Ahmedabad,1801,6500,6840000
4,Flat,Ahmedabad,2124,9459,17800000
5,Flat,Ahmedabad,8015,5000,73700000
3,Flat,Ahmedabad,1750,4200,8330000
4,Flat,Ahmedabad,1765,4040,21200000
4,Flat,Ahmedabad,2035,10500,35000000
3,Flat,Ahmedabad,1445,4865,13100000
3,Flat,Ahmedabad,945,6000,7350000
2,Flat,Ahmedabad,1350,4000,5450000
5,Flat,Ahmedabad,7650,8347,80300000
3,Flat,Ahmedabad,1850,4014,9000000
3,Flat,Ahmedabad,1458,14344,17500000
3,Flat,Ahmedabad,800,8527,7000000
3,Flat,Ahmedabad,1015,6477,15400000
2,Flat,Ahmedabad,809,5943,5600000
5,Flat,Ahmedabad,6623,8392,95000000
5,Flat,Ahmedabad,3000,4387,41000000
4,Flat,Ahmedabad,2163,4667,25400000
3,Flat,Ahmedabad,1046,9500,11500000
4,Flat,Ahmedabad,1639,5000,25000000
3,Flat,Ahmedabad,1550,10500,6800000
3,Flat,Ahmedabad,1260,4000,8400000
4,Villa,Ahmedabad,2700,4777,34200000
3,Flat,Ahmedabad,1500,7000,9000000
5,Flat,Ahmedabad,4311,7185,82200000
2,Flat,Ahmedabad,740,5778,5400000
4,Flat,Ahmedabad,1703,4300,14700000
4,Flat,Ahmedabad,4464,4100,31200000
4,Flat,Ahmedabad,3187,4200,43200000
3,Flat,Ahmedabad,1260,6000,10400000
3,Flat,Ahmedabad,1750,4878,7530000
3,Flat,Ahmedabad,968,6667,7220000
2,Flat,Ahmedabad,647,5318,5170000
4,Flat,Ahmedabad,4130,9496,24700000
3,Flat,Ahmedabad,1150,4200,12100000
4,Flat,Ahmedabad,2385,7601,28900000
4,Flat,Ahmedabad,1810,8333,17500000
4,Flat,Ahmedabad,6100,5325,57900000
3,Flat,Ahmedabad,1795,6182,7540000
